"Application_ID","Current City","Python (out of 3)","R Programming (out of 3)","Deep Learning (out of 3)","PHP (out of 3)","MySQL (out of 3)","HTML (out of 3)","CSS (out of 3)","JavaScript (out of 3)","","AJAX (out of 3)","Bootstrap (out of 3)","MongoDB (out of 3)","Node.js (out of 3)","ReactJS (out of 3)","Other skills","Degree","Stream","Current Year Of Graduation","Performance_PG","Performance_UG","Performance_12","Performance_10"
"ML0036","Delhi","0","0","0","0","0","0","0","0","","0","0","0","0","0","English Proficiency (Spoken), English Proficiency (Written), SPSS, Data Analytics, Database Management System (DBMS), MS-Excel, Machine Learning, Report Writing, Adobe Photoshop, PHP, WordPress","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2019","N/A","8.40/10","N/A","8.40/8.40"
"ML0037","Bangalore","2","0","0","1","2","1","2","0","","0","2","0","0","0","Django, MS-Excel, Machine Learning, Python, SQL","Bachelor of Engineering (B.E)","Electronics and Instrumentation","2019","N/A","8.11/10","93.00/93.00","87.68/87.68"
"ML0038","Bangalore","2","0","2","2","0","2","2","2","","0","0","0","0","0","Data Structures, Artifical Intelligence, Database Management System (DBMS), Deep Learning, J2EE, Java, Machine Learning, Python","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2017","N/A","4.17/10","72.83/72.83","N/A"
"ML0039","Bangalore","1","0","0","2","3","3","2","2","","0","2","0","2","0","C Programming, MS-Office, Bootstrap, C++ Programming, Data Structures, English Proficiency (Spoken), HTML, MySQL, PHP, Python","Master of Science (M.Sc)","Mathematics","2019","N/A","8.50/10","65.30/65.30","87.00/87.00"
"ML0040","Banglore","2","0","0","0","0","0","0","0","","0","0","0","0","0","Bootstrap, CSS, HTML, JavaScript, WordPress, Java, Python","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2020","N/A","70.00/100","82.60/82.60","9.20/9.20"
"ML0041","Hyderabad","1","1","1","0","0","0","0","0","","0","0","0","0","0","C Programming, C++ Programming, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming","Bachelor of Engineering (B.E)","Electrical and Electronics Engineering","2019","N/A","7.51/10","58.40/58.40","79.40/79.40"
"ML0042","Dehradun","1","0","0","3","0","3","2","3","","0","0","0","0","0","Android, Java, Adobe Photoshop, Machine Learning, Python","Bachelor of Technology (B.Tech)","Computer  Science","2021","N/A","8.72/10","94.25/94.25","96.20/96.20"
"ML0043","Bangalore","1","2","0","0","0","2","0","2","","0","0","0","0","0","English Proficiency (Spoken), Data Analytics, MS-Excel, Machine Learning, R Programming, Tableau, Python","MBA","Business Analytics","2021","74.00/100","60.00/100","67.00/67.00","84.00/84.00"
"ML0044","Nagpur","2","2","0","0","0","0","0","0","","0","0","0","0","0","C Programming, Data Analytics, Data Science, Python, R Programming, MS-Excel, Machine Learning, SQL, Statistical Modeling, Tableau","Bachelor of Engineering (B.E)","Computer Technology","2019","N/A","7.69/10","57.40/57.40","66.20/66.20"
"ML0045","Dharwad","2","0","0","0","0","0","0","0","","0","0","0","0","0","Algorithms, C++ Programming, Data Analytics, Data Structures, Machine Learning, Mathematics, Python","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2022","N/A","9.50/10","98.00/98.00","10.00/10.00"
"ML0046","Bangalore","3","0","2","0","0","0","0","0","","0","0","0","0","0","Image Processing, Machine Learning, Mathematics, Python, Computer Vision, Deep Learning, OpenCV, Django","B.Tech (Hons.)","Computer Science & Engineering","2019","N/A","5.90/10","6.56/6.56","7.42/7.42"
"ML0047","Hyderabad","0","0","0","2","2","2","2","2","","0","2","0","0","0","AutoCAD, Embedded Systems, MATLAB","Bachelor of Technology (B.Tech)","Information Systems","2019","N/A","67.20/100","N/A","9.50/9.50"
"ML0048","Bhubaneswar","2","0","2","0","0","2","0","0","","0","0","0","0","0","C Programming, C++ Programming, Deep Learning, Machine Learning, Python","Bachelor of Technology (B.Tech)","Information Technology","2021","N/A","8.77/10","72.00/72.00","10.00/10.00"
"ML0049","Bangalore","2","0","0","2","0","2","2","1","","0","0","0","0","0","Machine Learning, Python, SQL","Bachelor of Engineering (B.E)","Electronics and Communication","2013","N/A","62.00/100","N/A","N/A"
"ML0050","Durgapur","2","0","0","0","0","2","2","1","","0","0","0","0","0","Python, Computer Vision, Image Processing, Machine Learning, Natural Language Processing (NLP), OpenCV","B.Tech (Hons.)","Computer  Science","2020","N/A","6.72/10","N/A","N/A"
"ML0051","Greater Noida","1","0","0","0","0","0","0","0","","0","0","0","0","0","HTML, Java, MS-Word, C Programming, Python","Bachelor of Technology (B.Tech)","CSE With Cloud Computing","2020","N/A","7.87/10","7.20/7.20","8.70/8.70"
"ML0052","Bangalore","2","0","0","2","0","2","2","3","","0","0","0","0","0","Artifical Intelligence, Machine Learning, Python, SQL, Statistical Modeling, MongoDB","PG Diploma in Data Science","Data Science","2020","75.00/100","59.00/100","69.00/69.00","N/A"
"ML0053","Hyderabad","2","0","2","2","0","2","2","0","","0","0","0","0","0","Deep Learning, Machine Learning, Python, Artifical Intelligence, Natural Language Processing (NLP)","","Data Analytics","2019","58.00/100","60.00/100","N/A","N/A"
"ML0054","Bangalore","1","0","0","0","0","2","0","0","","0","0","0","0","0","AngularJS, CSS, HTML, Java, JavaScript, MySQL, Node.js, ReactJS, Python","Bachelor of Technology (B.Tech)","Electronics and Communication","2017","N/A","70.27/100","70.27/70.27","79.80/79.80"
"ML0055","Pune","2","2","0","2","0","2","2","0","","0","0","0","0","0","MS-Word, Statistical Modeling, MS-Excel, MS-Office, Mathematics, Python, R Programming, Data Analytics","Master of Science (M.Sc)","Science","2019","N/A","7.68/10","54.31/54.31","75.45/75.45"
"ML0056","Raebareli","2","2","2","0","0","0","0","0","","0","0","0","0","0","C Programming, Data Structures, Deep Learning, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, Computer Vision, Django, Hadoop","B.Tech (Hons.)","Computer Science & Engineering","2020","N/A","N/A","86.60/86.60","81.50/81.50"
"ML0057","Meerut","0","0","0","0","0","2","0","0","","0","0","0","0","0","Data Analytics, Machine Learning, Database Management System (DBMS)","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2020","N/A","77.00/100","83.60/83.60","N/A"
"ML0058","Ernakulam","3","0","0","2","0","3","2","0","","0","0","0","0","0","C Programming, C++ Programming, Python, Java, HTML, JavaScript, SQL","Bachelor of Technology (B.Tech)","Computer  Science","2019","N/A","6.90/10","89.00/89.00","9.80/9.80"
"ML0059","Hyderabad","0","0","0","0","0","0","0","0","","0","0","0","0","0","","Bachelor of Technology (B.Tech)","Electrical and Electronics Engineering","2017","N/A","72.00/100","N/A","N/A"
"ML0060","Pune","3","1","0","3","0","2","2","0","","0","3","0","0","0","Data Analytics, Machine Learning, MySQL, Python, Statistical Modeling, BIG DATA ANALYTICS, MS-Excel, SAS, R Programming","Post Graduate Programme (PGP)","Data Science","2019","N/A","6.00/10","N/A","N/A"
"ML0061","Delhi","3","0","3","0","0","0","0","0","","0","0","0","0","0","Computer Vision, Deep Learning, Image Processing, Neural Networks, Python, Data Analytics","Bachelor of Technology (B.Tech)","Electronics and Communication","2021","N/A","N/A","N/A","N/A"
"ML0062","Indore","1","0","0","0","0","0","0","2","","0","0","0","0","0","AutoCAD, Autodesk Inventor, C Programming, SolidWorks, ANSYS, C++ Programming, GNU Octave, MATLAB, Arduino, Autodesk SketchBook, HTML, Machine Learning, Python","Bachelor of Technology (B.Tech)","Biological sciences and bioengineering","2022","N/A","6.80/10","89.00/89.00","9.80/9.80"
"ML0063","Bangalore","2","2","0","0","0","0","0","0","","0","0","0","0","0","BIG DATA ANALYTICS, Data Analytics, Database Management System (DBMS), Linux, Machine Learning, Python, R Programming, SQL, Java","Post Graduate Diploma in Big Data Analytics (PG-DBDA)","Big Data Analytics","2019","61.00/100","68.34/100","N/A","79.81/79.81"
"ML0064","Hyderabad","2","2","0","0","0","0","0","0","","0","0","0","0","0","MS-Office, C Programming, Python, R Programming, Visual Basic (VB), C++ Programming, MS SQL Server, NoSQL","Bachelor of Technology (B.Tech)","Biotechnology","2018","N/A","8.30/10","N/A","N/A"
"ML0065","Bangalore","2","2","0","0","0","2","0","0","","0","0","0","0","0","English Proficiency (Spoken), Data Analytics, MS-Excel, Machine Learning, Python, R Programming","","Data Science","2019","N/A","68.00/100","N/A","N/A"
"ML0066","Ajmer","2","0","0","0","0","3","3","2","","0","3","0","0","0","C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Python, Machine Learning","Bachelor of Technology (B.Tech)","Computer  Science","2021","N/A","7.00/7","N/A","8.00/8.00"
"ML0067","Chandigarh","2","0","0","2","3","3","3","3","","0","0","0","0","0","Data Analytics, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, SQL, C Programming, C++ Programming, Hadoop, Linux, Machine Learning, MySQL, Python, Blockchain, Image Processing","Bachelor of Engineering (B.E)","Computer Science & Engineering","2020","N/A","7.10/10","8.20/8.20","9.30/9.30"
"ML0068","Kozhikode","2","2","0","1","0","0","0","0","","0","0","0","0","0","AutoCAD, Machine Learning, Python, R Programming, SQL, Natural Language Processing (NLP)","Bachelor of Engineering (B.E)","Mechatronics","2019","N/A","8.00/10","7.90/7.90","N/A"
"ML0069","Bangalore","2","0","0","0","0","0","0","0","","0","0","0","0","0","Data Analytics, Data Science, MS-Excel, Machine Learning, Python","Bachelor of Technology (B.Tech)","","2013","N/A","N/A","N/A","N/A"
"ML0070","Bangalore","2","0","0","0","0","0","0","0","","0","0","0","0","0","English Proficiency (Spoken), English Proficiency (Written), MS-Word, Machine Learning, MySQL, Python, WordPress, Java","Bachelor of Engineering (B.E)","Computer  Science","2020","N/A","7.90/10","83.60/83.60","N/A"
"ML0071","Bangalore","3","0","0","0","2","3","0","2","","0","0","0","0","0","Algorithms, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, MS-Excel, MS-Word, Machine Learning, Python, Statistical Modeling, Database Management System (DBMS), SQL","Bachelor of Engineering (B.E)","Computer Science & Engineering","2018","8.06/10","N/A","N/A","N/A"
"ML0072","Indore","1","2","0","2","2","2","2","2","","0","0","0","0","0","Algorithms, Cloud Computing, Database Management System (DBMS), MS-Excel, MS-Word, Machine Learning, Mathematics, R Programming, Statistical Modeling, Python, SPSS","Master of Technology (M.Tech)","Big Data Analytics","2021","60.00/100","58.01/100","76.80/76.80","84.50/84.50"
"ML0073","Bangalore","2","2","0","0","0","1","1","1","","0","0","0","0","0","MS-Excel, Machine Learning, Python, R Programming, MS-Office","Bachelor of Commerce (B.Com)","","2017","N/A","71.00/100","89.00/89.00","N/A"
"ML0074","Banglore","2","0","0","0","0","2","2","2","","0","0","0","0","2","English Proficiency (Spoken), HTML, Java, MS-Excel, Python, Data Analytics","Master of Science (M.Sc)","computer science","2016","6.00/7","5.00/7","N/A","N/A"
"ML0075","Hyderabad","1","0","1","0","0","0","0","0","","0","0","0","0","0","HTML, JavaScript, Data Analytics, Deep Learning, Machine Learning, Neural Networks, Python","Bachelor of Technology (B.Tech)","Electronics and Communication","2016","N/A","65.00/100","83.00/83.00","75.00/75.00"
"ML0076","Bangalore","1","0","0","2","0","2","2","0","","0","0","0","0","0","Android, C Programming, C++ Programming, Computer Networks, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), HTML, Java, MS-Office, MS-PowerPoint, MS-Word, Adobe Photoshop, CSS, Linux, PHP, Python, XML","Bachelor of Technology (B.Tech)","Computer  Science","2021","N/A","N/A","74.60/74.60","8.00/8.00"
"ML0077","Bangalore","3","3","3","0","0","2","0","0","","0","0","0","0","0","Adobe Photoshop, CSS, Computer Vision, Data Analytics, Deep Learning, HTML, JavaScript, MATLAB, Machine Learning, Natural Language Processing (NLP), Python, R Programming, MS-Excel, PHP, jQuery","Bachelor of Technology (B.Tech)","Instrumentation & Electronics","2019","N/A","6.74/10","N/A","10.00/10.00"
"ML0078","Bangalore","2","0","0","2","0","2","2","0","","0","0","0","0","0","Data Analytics, Machine Learning, Python","Bachelor of Engineering (B.E)","Mechanical Engineering","2017","N/A","63.00/100","N/A","N/A"
"ML0079","Bangalore","2","1","0","0","0","0","0","0","","0","0","0","0","0","Machine Learning, Python, SQL, Database Testing, R Programming","Bachelor of Engineering (B.E)","Mechanical Engineering","2019","N/A","6.89/10","72.00/72.00","73.00/73.00"
"ML0080","Hyderabad","1","0","0","0","0","2","0","0","","0","0","0","0","0","English Proficiency (Spoken), MS-Excel, Data Analytics, Machine Learning, Python","B.Tech (Hons.)","Civil Engineering","2017","N/A","6.86/10","96.40/96.40","87.60/87.60"
"ML0081","Delhi","2","2","0","2","0","3","2","0","","0","0","0","0","0","MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, R Programming, SPSS, Statistical Modeling, C++ Programming, Google Analytics, Six Sigma","Master of Technology (M.Tech)","Industrial and Management Engineering","2021","7.30/10","84.00/100","84.60/84.60","8.00/8.00"
"ML0082","Bangalore","3","2","0","0","0","0","0","0","","0","0","0","0","0","Data Analytics, MS-Word, Python, Event Management, MS-Office, MS-PowerPoint, R Programming, SQL","Post Graduate Programme (PGP)","Data Science, Data Analytics, Big Data","2019","N/A","N/A","N/A","N/A"
"ML0083","Jaipur","2","0","2","3","0","2","2","0","","0","3","0","0","0","Deep Learning, Machine Learning, Python, Algorithms, Artifical Intelligence, C Programming, C++ Programming, Computer Vision, GitHub, Java","Bachelor of Technology (B.Tech)","Computer  Science","2021","N/A","N/A","N/A","N/A"
"ML0084","Chennai","2","0","0","0","0","0","0","0","","0","0","0","0","0","Python, SQL","Post Graduate Programme (PGP)","Artificial Intelligence And Machine Learning","2020","N/A","60.00/100","N/A","N/A"
"ML0085","Bangalore","2","2","0","0","0","0","0","2","","0","0","0","0","0","Machine Learning, Python, R Programming, Statistical Modeling, Apache, Hadoop","Master of Technology (M.Tech)","Engineering Design","2016","7.00/7","N/A","N/A","N/A"
"ML0086","Pune","2","0","0","0","0","0","0","0","","0","0","0","0","0","Machine Learning, Python","Master of Science (M.Sc)","Computer Science With The Specialization In Data Science","2020","N/A","59.33/100","N/A","N/A"
"ML0087","Lucknow","2","0","1","0","0","0","0","0","","0","0","0","0","0","Artifical Intelligence, Django, Python, Deep Learning, Machine Learning","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2020","N/A","78.00/100","68.40/68.40","64.60/64.60"
"ML0088","Barhampur","2","0","2","0","0","2","0","0","","0","0","0","0","0","C Programming, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Python","Bachelor of Technology (B.Tech)","Computer  Science","2020","N/A","N/A","N/A","N/A"
"ML0089","Bangalore","1","0","0","0","0","3","3","2","","0","3","0","0","0","SAP, Machine Learning, Python","Bachelor of Engineering (B.E)","Information Science","2015","N/A","56.00/100","53.00/53.00","67.00/67.00"
"ML0090","Kolhapur","1","0","0","2","3","3","3","3","","0","0","0","0","0","MS-Excel, MS-Office, Machine Learning, Python","Master of Science (M.Sc)","Statistics","2019","7.57/10","N/A","N/A","N/A"
"ML0091","Bangalore","2","2","2","1","0","0","0","0","","0","0","0","0","0","Linux, Data Analytics, Deep Learning, Image Processing, Java, Machine Learning, PHP, Python, R Programming, Natural Language Processing (NLP), OpenCV, Statistical Modeling","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2019","N/A","61.00/100","60.00/60.00","74.40/74.40"
"ML0092","Bangalore","2","0","0","0","0","0","0","0","","0","0","0","0","0","C Programming, Internet of Things (IoT), Mathematics, Database Management System (DBMS), HTML, JavaScript, Machine Learning, MySQL, Python, BIG DATA ANALYTICS","B.Tech (Hons.)","Computer  Science","2020","N/A","7.50/10","85.00/85.00","9.00/9.00"
"ML0093","Bangalore","2","0","0","0","0","0","0","0","","0","0","0","0","0","C Programming, HTML, PHP, Python, AngularJS, JavaScript","Bachelor of Engineering (B.E) (Hons.)","Information Science","2020","N/A","7.68/10","N/A","N/A"
"ML0094","Idupulapaya","3","1","2","0","2","3","0","2","","0","0","0","0","0","English Proficiency (Written), Hindi Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Python, Telugu Proficiency (Spoken), Telugu Proficiency (Written), C Programming, Computer Vision, Deep Learning, Digital Signal Processing, English Proficiency (Spoken), Hindi Proficiency (Spoken), Image Processing, LaTeX, MATLAB, Machine Learning, NI Multisim, Neural Networks, OpenCV, Proteus Design Suite, Arduino, Artifical Intelligence, R Programming","Bachelor of Technology (B.Tech)","Electronics and Communication","2021","N/A","8.43/10","8.59/8.59","9.50/9.50"
"ML0095","Bangalore","2","0","0","2","2","2","2","2","","0","0","0","0","0","Algorithms, C Programming, Computer Networking, Data Structures, Database Management System (DBMS), Java, Python, Amazon Web Services (AWS), Bootstrap, Cloud Computing, Linux, Machine Learning, PHP","Bachelor of Engineering (B.E)","Information Technology","2020","N/A","8.12/10","N/A","N/A"
"ML0096","Bangalore","2","2","0","0","0","1","1","1","","0","0","0","0","0","MS-Office, Machine Learning, C Programming, Catia, Neural Networks, Python, R Programming, SAS, SQL","Bachelor of Engineering (B.E)","Mechanical Engineering","2017","N/A","64.16/100","76.33/76.33","79.53/79.53"
"ML0097","Bangalore","2","2","0","0","0","2","2","2","","0","0","0","0","2","Data Structures, Machine Learning, Database Management System (DBMS), Natural Language Processing (NLP), Neural Networks, Python, R Programming, SQL, Statistical Modeling","Bachelor of Engineering (B.E)","Information Technology","2017","N/A","56.85/100","65.40/65.40","67.00/67.00"
"ML0098","Pune","2","2","0","0","0","0","0","0","","0","0","0","0","0","Data Analytics, MS-Excel, Machine Learning, Python, R Programming, SAS, SQL, Statistical Modeling","Bachelor of Technology (B.Tech)","Electronics and Telecommunication Engineering (ETE)","2015","N/A","N/A","N/A","N/A"
"ML0099","Bangalore","2","0","0","1","0","2","2","2","","0","0","0","0","1","GitHub, Linux, Python, Visual Basic (VB), C++ Programming, Java, JavaScript, SQL","Bachelor of Computer Applications (BCA)","Computer  Science","2019","N/A","7.00/10","51.00/51.00","7.80/7.80"
"ML0100","Hyderabad","2","0","0","0","2","3","3","3","","0","0","0","0","2","MS-Office, MS-PowerPoint, Python, SQL","Master of Technology (M.Tech)","","2017","N/A","1.00/5","N/A","N/A"
"ML0101","Bangalore","2","2","0","0","0","2","2","1","","0","0","0","0","1","Data Analytics, Python, R Programming","Master of Technology (M.Tech)","computer science","2018","8.91/10","N/A","N/A","N/A"
